sku,name,link,thumbnail
42004,Pokemon: Sword & Shield - Darkness Ablaze Booster Box,https://www.gamenerdz.com/pokemon-sword-shield-darkness-ablaze-booster-box,https://cdn11.bigcommerce.com/s-ua4dd/images/stencil/1280x1280/products/42004/89897/Sword-Shield-Darkness-Ablaze_Booster_Display_EN-gn__80255.1591050760.jpg?c=2
43748,Pokemon: Hidden Fates Elite Trainer Box (Sold out until December),https://www.gamenerdz.com/pokemon-hidden-fates-elite-trainer-box-sold-out-until-december,https://cdn11.bigcommerce.com/s-ua4dd/images/stencil/1280x1280/products/43748/94427/s-l1600_1__60231.1602622644.jpg?c=2
43229,Pokemon: Kanto Power Collection (Set of 2) (PREORDER),https://www.gamenerdz.com/pokemon-kanto-power-collection-set-of-2-preorder,https://cdn11.bigcommerce.com/s-ua4dd/images/stencil/1280x1280/products/43229/92848/Untitled__56046.1598903181.jpg?c=2
42635,Pokemon: Championâ€™s Path Elite Trainer Box,https://www.gamenerdz.com/pokemon-champions-path-elite-trainer-box,https://cdn11.bigcommerce.com/s-ua4dd/images/stencil/1280x1280/products/42635/91286/Pokemon_TCG_Champion_s_Path_Elite_Trainer_Box_ProductShot-1__05945.1595549895.jpg?c=2
42633,Pokemon: Champion's Path Pin Collection (Turffield Hulbury & Motostoke Gyms) (Set of 3),https://www.gamenerdz.com/pokemon-champions-path-pin-collection-turffield-hulbury-motostoke-gyms-set-of-3,https://cdn11.bigcommerce.com/s-ua4dd/images/stencil/1280x1280/products/42633/91283/NDPKSM5B__62859.1595547546.jpg?c=2
42672,Pokemon: Champion's Path Special Pin Collection (Set of 2),https://www.gamenerdz.com/pokemon-champions-path-special-pin-collection-set-of-2,https://cdn11.bigcommerce.com/s-ua4dd/images/stencil/1280x1280/products/42672/91394/Pokemon_ChampionsPath_part1_05a_SpecialPin_StowonSide__45209.1596050911.jpg?c=2
43228,Pokemon: Sword & Shield - Vivid Voltage Build & Battle Box (PREORDER),https://www.gamenerdz.com/pokemon-sword-shield-vivid-voltage-build-battle-box-preorder,https://cdn11.bigcommerce.com/s-ua4dd/images/stencil/1280x1280/products/43228/92847/6-4__76933.1598901756.jpg?c=2
42671,Pokemon: Champion's Path Pin Collection (Ballonlea Spikemuth & Hammerlocke Gyms) (Set of 3) (PREORDER),https://www.gamenerdz.com/pokemon-champions-path-pin-collection-ballonlea-spikemuth-hammerlocke-gyms-set-of-3-preorder,https://cdn11.bigcommerce.com/s-ua4dd/images/stencil/1280x1280/products/42671/91393/Champions_Path_Pin_Collection_Wave2_Spikemuth_Gym_EN-1000x1057-2010bc2__94522.1596049373.jpg?c=2
33810,Pokemon: Sun & Moon Team Up Booster Box,https://www.gamenerdz.com/pokemon-sun-moon-team-up-booster-box,https://cdn11.bigcommerce.com/s-ua4dd/images/stencil/1280x1280/products/33810/70023/Team-Up-Booster-Box__28056.1544138402.jpg?c=2
40694,Pokemon: Galar Pals Mini Tin (Set of 5),https://www.gamenerdz.com/pokemon-galar-pals-mini-tin-set-of-5,https://cdn11.bigcommerce.com/s-ua4dd/images/stencil/1280x1280/products/40694/86860/Galar-Pal-Mini-Tins__54171.1580261380.jpg?c=2
41957,Pokemon: Sun & Moon - Unified Minds Elite Trainer Box,https://www.gamenerdz.com/pokemon-sun-moon-unified-minds-elite-trainer-box,https://cdn11.bigcommerce.com/s-ua4dd/images/stencil/1280x1280/products/41957/89799/d4e9d145-9e80-42e4-a281-54b7e9ecd7eb_1.53f0cc8d2ea6457a316dbf5b1bc09bfe__67540.1590178275.jpg?c=2
43220,Pokemon: Sword & Shield - Vivid Voltage Booster Box (PREORDER),https://www.gamenerdz.com/pokemon-sword-shield-vivid-voltage-booster-box-preorder,https://cdn11.bigcommerce.com/s-ua4dd/images/stencil/1280x1280/products/43220/92830/POKEMON-SWORD-AND-SHIELD-BOOSTER-PACK-ENGLISH-P10-B36-C6-VIVID-VOLTAGE__0820650827495-4__78138.1598897913.jpg?c=2
42000,POKEMON: SWORD & SHIELD - DARKNESS ABLAZE ELITE TRAINER BOX,https://www.gamenerdz.com/pokemon-sword-shield-darkness-ablaze-elite-trainer-box,https://cdn11.bigcommerce.com/s-ua4dd/images/stencil/1280x1280/products/42000/89885/Sword_ShieldDarkness_Ablaze_Elite_Trainer_Boxb12__41236.1591049320.png?c=2
43231,POKEMON: FALL 2020 COLLECTOR CHEST (PREORDER),https://www.gamenerdz.com/pokemon-fall-2020-collector-chest-preorder,https://cdn11.bigcommerce.com/s-ua4dd/images/stencil/1280x1280/products/43231/92854/Untitled__93983.1598909701.jpg?c=2
44063,POKEMON: ALAKAZAM V BOX (PREORDER),https://www.gamenerdz.com/pokemon-alakazam-v-box-preorder,https://cdn11.bigcommerce.com/s-ua4dd/images/stencil/1280x1280/products/44063/95360/pku80748__62551.1604088635.jpg?c=2